iter	RMSE
0	96433.95696
1	90419.71352
2	84646.92754
3	79800.72192
4	75169.63063
5	71036.12442
6	67202.45051
7	63780.06856
8	60665.73105
9	58082.61655
10	55545.75221
11	52840.08622
12	50396.59297
13	48212.38751
14	46254.65066
15	44385.59711
16	42718.41105
17	41164.57538
18	39719.12674
19	38408.63008
20	37297.73075
21	36432.04482
22	35424.62287
23	34753.5536
24	33810.87574
25	32909.21899
26	32020.81969
27	31263.05666
28	30463.7058
29	30024.53678
30	29604.22165
31	29013.89044
32	28534.52045
33	28046.09418
34	27671.01958
35	27320.08652
36	26870.3839
37	26469.19629
38	26080.09649
39	25581.24968
40	25330.6344
41	25021.88034
42	24631.51169
43	24444.7839
44	24247.64709
45	23986.00066
46	23468.33115
47	23227.2204
48	23122.78183
49	22925.86476
50	22699.07691
51	22533.03951
52	22358.30145
53	22121.58816
54	21986.93861
55	21804.75954
56	21684.80538
57	21531.26595
58	21390.24527
59	21291.91294
60	21007.85383
61	20723.00927
62	20640.06672
63	20527.776
64	20362.59216
65	20246.85173
66	20016.23765
67	19894.63914
68	19802.16591
69	19688.53001
70	19613.4156
71	19426.24612
72	19332.92119
73	19176.44544
74	19036.47056
75	18957.17705
76	18876.71441
77	18843.54582
78	18696.31073
79	18539.35541
80	18413.47143
81	18282.30715
82	18194.77058
83	18138.62894
84	18063.14417
85	17782.19386
86	17685.95418
87	17591.07127
88	17483.4631
89	17305.57454
90	17256.60275
91	17157.11322
92	17051.93057
93	16970.58004
94	16867.38794
95	16713.97172
96	16623.53651
97	16504.83497
98	16421.27593
99	16319.62819
100	16220.45669
101	16129.66403
102	16035.68957
103	15953.97252
104	15861.59417
105	15822.67777
106	15785.19656
107	15738.4107
108	15669.8446
109	15576.26357
110	15543.16956
111	15468.06539
112	15402.45065
113	15289.40526
114	15208.1161
115	15157.17401
116	15122.54954
117	15044.06648
118	15036.05511
119	14953.1969
120	14880.64426
121	14794.39362
122	14689.88389
123	14618.16812
124	14566.64934
125	14503.15922
126	14463.79111
127	14406.90126
128	14335.40279
129	14285.32864
130	14243.16837
131	14175.83462
132	13992.23081
133	13858.46361
134	13743.71662
135	13659.10678
136	13541.76935
137	13514.35725
138	13473.42682
139	13424.52099
140	13392.51872
141	13329.2105
142	13266.50768
143	13226.73421
144	13208.32687
145	13174.87247
146	13127.1505
147	13094.26465
148	13074.34065
149	13055.59455
150	13028.38466
151	13008.93596
152	12950.13179
153	12924.33212
154	12895.66028
155	12872.53205
156	12809.05543
157	12804.38383
158	12730.63209
159	12712.66583
160	12650.40119
161	12583.72538
162	12504.37388
163	12440.37087
164	12388.61288
165	12351.18525
166	12335.07597
167	12299.1761
168	12278.43886
169	12267.11139
170	12238.29891
171	12222.93388
172	12182.23762
173	12152.75982
174	12080.70467
175	12054.34183
176	12019.63298
177	11970.66041
178	11927.9524
179	11899.23265
180	11863.33888
181	11850.10093
182	11787.06333
183	11740.57603
184	11706.0328
185	11680.17547
186	11656.45576
187	11643.16476
188	11594.87722
189	11561.61467
190	11537.04586
191	11484.48185
192	11439.45025
193	11389.42013
194	11366.91009
195	11320.57639
196	11282.94399
197	11266.38183
198	11244.05418
199	11219.54796
200	11204.46031
201	11199.85804
202	11163.01026
203	11143.14863
204	11111.02423
205	11092.82678
206	11064.11982
207	11026.77139
208	11008.10505
209	10980.37791
210	10959.55819
211	10933.38431
212	10907.80034
213	10888.37585
214	10837.57831
215	10815.26477
216	10803.10105
217	10798.87608
218	10763.44377
219	10733.88086
220	10690.90734
221	10664.87931
222	10636.20859
223	10611.01581
224	10588.37513
225	10576.16309
226	10535.62927
227	10518.09517
228	10487.61278
229	10481.78333
230	10445.29432
231	10427.81176
232	10416.81988
233	10400.33299
234	10387.01374
235	10348.57308
236	10320.79894
237	10284.82205
238	10261.24681
239	10224.73797
240	10210.1221
241	10185.15148
242	10170.73054
243	10149.23338
244	10119.2863
245	10105.88718
246	10088.40378
247	10059.14932
248	10033.57454
249	9986.563383
250	9966.524077
251	9935.977841
252	9910.546073
253	9870.349985
254	9867.26091
255	9833.410593
256	9799.981493
257	9788.271584
258	9772.513588
259	9762.486406
260	9753.870249
261	9741.498513
262	9722.077539
263	9690.652968
264	9661.565039
265	9651.853784
266	9629.712406
267	9609.299877
268	9600.46399
269	9595.874562
270	9583.025193
271	9573.127091
272	9539.112934
273	9512.59953
274	9492.465943
275	9440.841941
276	9430.553068
277	9420.987224
278	9403.049748
279	9371.789547
280	9335.523176
281	9311.63419
282	9289.540419
283	9278.325893
284	9250.610399
285	9238.738268
286	9224.952072
287	9202.906088
288	9195.322106
289	9187.002666
290	9172.881902
291	9164.383552
292	9147.99879
293	9131.895785
294	9099.339688
295	9088.370046
296	9066.080358
297	9052.882974
298	9016.693787
299	8995.886651
300	8987.399726
301	8959.15814
302	8934.352972
303	8917.848214
304	8898.744246
305	8853.959405
306	8843.566671
307	8819.923266
308	8803.913859
309	8791.690533
310	8765.53725
311	8751.957497
312	8726.889653
313	8723.212859
314	8703.870287
315	8688.97928
316	8675.978419
317	8652.336444
318	8648.196444
319	8633.271406
320	8612.776472
321	8588.053912
322	8575.739264
323	8561.641704
324	8542.926874
325	8527.865774
326	8517.748362
327	8503.537271
328	8485.22066
329	8473.793494
330	8467.789887
331	8445.847082
332	8431.937069
333	8421.234414
334	8404.949787
335	8393.947882
336	8383.34768
337	8373.017777
338	8322.251329
339	8297.507732
340	8286.968341
341	8275.758575
342	8263.526621
343	8256.213118
344	8236.473701
345	8217.974592
346	8194.439582
347	8189.726036
348	8164.578835
349	8152.868113
350	8128.032978
351	8119.35212
352	8113.13827
353	8101.11826
354	8075.966526
355	8056.621601
356	8037.634437
357	8022.240784
358	7978.891486
359	7961.045273
360	7950.912854
361	7938.687327
362	7929.130406
363	7919.846734
364	7903.278772
365	7894.507283
366	7885.349888
367	7878.629031
368	7867.888256
369	7862.947142
370	7854.361932
371	7845.580757
372	7838.7616
373	7822.301275
374	7815.013751
375	7806.904263
376	7792.722834
377	7778.206183
378	7772.933283
379	7759.833107
380	7732.805105
381	7720.738458
382	7711.409212
383	7701.399982
384	7693.769944
385	7682.351062
386	7664.996944
387	7645.730723
388	7635.199775
389	7628.493882
390	7618.893663
391	7610.739149
392	7605.319309
393	7598.097648
394	7577.744174
395	7572.574965
396	7568.798798
397	7552.45145
398	7547.129782
399	7531.570654
400	7522.586171
401	7518.088503
402	7509.127767
403	7504.42414
404	7492.698919
405	7482.256687
406	7477.794401
407	7466.986169
408	7459.137199
409	7444.300065
410	7435.703371
411	7429.821971
412	7416.233651
413	7397.247294
414	7390.20362
415	7383.547137
416	7382.064462
417	7364.803932
418	7356.901418
419	7346.212157
420	7327.600856
421	7312.916517
422	7299.290104
423	7296.031954
424	7284.223955
425	7274.35814
426	7257.351348
427	7247.318619
428	7238.395702
429	7231.363763
430	7225.162899
431	7210.033827
432	7194.032453
433	7183.417971
434	7169.110389
435	7163.611874
436	7157.913307
437	7143.004905
438	7133.070339
439	7124.561441
440	7117.718017
441	7104.449817
442	7093.14837
443	7085.509088
444	7081.252281
445	7067.885018
446	7042.099685
447	7035.637313
448	7029.025606
449	7008.858645
450	6991.58696
451	6977.058845
452	6954.828799
453	6948.151369
454	6934.310105
455	6917.963674
456	6906.297464
457	6901.996912
458	6884.184021
459	6877.856213
460	6868.626705
461	6858.469662
462	6849.266352
463	6845.950446
464	6838.031151
465	6827.680938
466	6823.799192
467	6820.96588
468	6808.903492
469	6802.046494
470	6792.273803
471	6784.14005
472	6777.657146
473	6768.960836
474	6764.284674
475	6755.118
476	6740.531985
477	6727.450217
478	6722.599221
479	6717.937688
480	6701.120779
481	6695.096561
482	6684.833092
483	6671.538318
484	6646.908939
485	6643.979052
486	6627.731977
487	6612.728091
488	6602.72617
489	6599.33311
490	6593.451388
491	6589.276197
492	6584.154234
493	6579.310174
494	6574.839757
495	6567.331563
496	6554.544637
497	6543.77485
498	6527.694817
499	6516.331373
500	6510.485293
501	6494.402614
502	6486.400093
503	6480.193346
504	6466.594439
505	6463.586712
506	6451.264959
507	6443.45985
508	6440.073457
509	6435.140151
510	6425.205345
511	6411.443898
512	6405.0695
513	6382.965663
514	6374.409809
515	6359.344749
516	6327.941941
517	6312.348773
518	6295.041387
519	6277.490558
520	6271.549933
521	6264.476369
522	6261.147186
523	6240.141245
524	6228.214029
525	6220.879724
526	6214.270661
527	6196.909657
528	6190.639303
529	6176.913713
530	6163.618772
531	6154.448553
532	6150.720257
533	6132.786699
534	6117.723551
535	6103.236121
536	6090.946824
537	6081.503317
538	6071.957513
539	6064.948115
540	6057.654337
541	6049.680474
542	6033.484529
543	6029.197729
544	6025.317715
545	6014.219765
546	6009.814993
547	5996.410241
548	5989.556942
549	5981.766237
550	5973.332104
551	5969.67301
552	5961.358808
553	5958.352157
554	5951.913556
555	5945.931726
556	5935.795785
557	5921.617435
558	5911.58451
559	5904.734399
560	5889.42976
561	5874.62663
562	5866.35087
563	5861.917244
564	5857.427856
565	5846.385082
566	5829.936211
567	5816.851658
568	5808.865843
569	5794.026686
570	5791.010887
571	5781.355939
572	5774.092076
573	5773.326965
574	5761.415501
575	5756.110886
576	5748.998208
577	5734.161628
578	5725.807626
579	5719.061793
580	5699.668144
581	5690.906525
582	5681.565041
583	5671.811658
584	5664.425909
585	5656.189217
586	5649.912282
587	5644.464758
588	5635.10736
589	5631.159761
590	5628.577445
591	5620.264918
592	5609.709357
593	5608.262079
594	5597.712156
595	5589.688946
596	5585.661623
597	5580.017666
598	5576.134091
599	5558.170821
600	5541.997894
601	5533.205695
602	5527.809391
603	5524.592672
604	5518.644524
605	5511.613953
606	5507.674419
607	5498.984803
608	5495.112244
609	5490.204866
610	5488.761188
611	5483.75722
612	5475.934952
613	5472.879888
614	5460.395381
615	5449.457749
616	5446.209431
617	5437.147146
618	5427.593667
619	5420.660522
620	5415.808182
621	5407.995156
