iter	Passed	Remaining
0	174	174229
1	224	112247
2	264	87967
3	306	76251
4	359	71444
5	395	65590
6	430	61046
7	469	58203
8	508	55995
9	550	54519
10	589	52958
11	628	51709
12	667	50660
13	705	49700
14	750	49283
15	793	48789
16	833	48190
17	871	47527
18	909	46979
19	947	46414
20	989	46128
21	1028	45700
22	1076	45741
23	1118	45487
24	1164	45421
25	1221	45748
26	1263	45540
27	1305	45330
28	1345	45060
29	1383	44749
30	1428	44636
31	1477	44680
32	1517	44458
33	1556	44219
34	1598	44062
35	1638	43883
36	1676	43627
37	1717	43486
38	1753	43205
39	1790	42978
40	1828	42766
41	1868	42623
42	1911	42536
43	1952	42427
44	1995	42342
45	2038	42270
46	2112	42833
47	2179	43221
48	2218	43065
49	2256	42876
50	2295	42715
51	2334	42567
52	2375	42453
53	2415	42323
54	2455	42192
55	2526	42592
56	2568	42490
57	2610	42402
58	2652	42300
59	2690	42152
60	2730	42028
61	2770	41919
62	2811	41817
63	2851	41698
64	2889	41563
65	2926	41413
66	2962	41257
67	3002	41149
68	3043	41069
69	3081	40935
70	3130	40961
71	3176	40936
72	3244	41200
73	3308	41399
74	3351	41332
75	3395	41278
76	3438	41212
77	3479	41130
78	3522	41063
79	3564	40994
80	3604	40899
81	3645	40812
82	3683	40690
83	3725	40627
84	3763	40516
85	3803	40428
86	3844	40345
87	3885	40268
88	3924	40168
89	3968	40126
90	4010	40057
91	4051	39986
92	4089	39882
93	4133	39841
94	4174	39764
95	4217	39716
96	4255	39614
97	4307	39648
98	4351	39603
99	4404	39638
100	4445	39572
101	4486	39500
102	4539	39530
103	4577	39439
104	4614	39331
105	4656	39272
106	4693	39172
107	4730	39073
108	4773	39021
109	4812	38939
110	4863	38954
111	4912	38949
112	4956	38907
113	4996	38831
114	5047	38847
115	5090	38790
116	5129	38713
117	5171	38654
118	5211	38583
119	5248	38491
120	5287	38409
121	5329	38353
122	5367	38272
123	5405	38189
124	5443	38102
125	5480	38016
126	5520	37950
127	5564	37911
128	5604	37844
129	5643	37768
130	5688	37737
131	5731	37688
132	5774	37642
133	5816	37587
134	5859	37541
135	5897	37464
136	5934	37382
137	5973	37314
138	6015	37263
139	6056	37205
140	6102	37178
141	6148	37151
142	6191	37107
143	6234	37063
144	6277	37013
145	6317	36953
146	6359	36905
147	6398	36833
148	6450	36844
149	6492	36793
150	6536	36752
151	6575	36684
152	6614	36620
153	6654	36555
154	6695	36498
155	6733	36431
156	6789	36456
157	6833	36419
158	6875	36365
159	6917	36316
160	6955	36248
161	6993	36175
162	7033	36118
163	7074	36060
164	7112	35993
165	7151	35927
166	7188	35854
167	7225	35784
168	7266	35728
169	7306	35673
170	7350	35636
171	7395	35599
172	7435	35544
173	7472	35473
174	7511	35413
175	7552	35358
176	7593	35305
177	7631	35243
178	7668	35172
179	7711	35129
180	7751	35075
181	7792	35023
182	7831	34963
183	7872	34914
184	7913	34860
185	7949	34788
186	7987	34725
187	8030	34684
188	8070	34631
189	8113	34590
190	8154	34537
191	8191	34472
192	8228	34407
193	8271	34365
194	8310	34307
195	8354	34270
196	8397	34228
197	8438	34180
198	8480	34133
199	8524	34098
200	8562	34035
201	8599	33972
202	8638	33916
203	8684	33885
204	8735	33877
205	8774	33819
206	8811	33754
207	8849	33696
208	8894	33662
209	8941	33636
210	8980	33580
211	9021	33531
212	9062	33484
213	9113	33473
214	9154	33425
215	9195	33376
216	9240	33341
217	9284	33306
218	9325	33258
219	9366	33209
220	9407	33159
221	9444	33098
222	9482	33038
223	9521	32983
224	9572	32973
225	9612	32919
226	9653	32872
227	9692	32818
228	9736	32781
229	9775	32728
230	9822	32698
231	9862	32648
232	9902	32598
233	9938	32534
234	9980	32491
235	10038	32496
236	10077	32444
237	10115	32386
238	10152	32326
239	10201	32305
240	10241	32254
241	10284	32214
242	10324	32162
243	10360	32101
244	10399	32048
245	10436	31987
246	10471	31923
247	10511	31874
248	10547	31812
249	10584	31752
250	10620	31690
251	10663	31652
252	10700	31593
253	10740	31543
254	10781	31499
255	10818	31440
256	10854	31382
257	10890	31320
258	10925	31256
259	10965	31210
260	11005	31160
261	11045	31113
262	11083	31060
263	11118	30996
264	11154	30937
265	11194	30889
266	11231	30833
267	11265	30771
268	11300	30708
269	11335	30647
270	11372	30591
271	11409	30537
272	11452	30497
273	11488	30440
274	11524	30381
275	11559	30321
276	11596	30267
277	11634	30216
278	11672	30164
279	11706	30102
280	11740	30040
281	11776	29982
282	11810	29921
283	11846	29867
284	11884	29816
285	11921	29762
286	11956	29703
287	11991	29646
288	12025	29585
289	12065	29540
290	12102	29486
291	12136	29427
292	12171	29369
293	12204	29308
294	12244	29261
295	12284	29216
296	12322	29167
297	12356	29109
298	12391	29052
299	12426	28994
300	12459	28933
301	12495	28879
302	12533	28830
303	12571	28781
304	12605	28724
305	12642	28673
306	12680	28624
307	12717	28574
308	12757	28528
309	12795	28480
310	12832	28429
311	12867	28374
312	12904	28324
313	12942	28276
314	12979	28224
315	13015	28173
316	13054	28127
317	13093	28080
318	13130	28031
319	13168	27982
320	13208	27938
321	13244	27886
322	13281	27837
323	13316	27783
324	13350	27728
325	13384	27673
326	13424	27628
327	13464	27586
328	13502	27537
329	13536	27482
330	13573	27433
331	13613	27391
332	13652	27346
333	13689	27297
334	13733	27262
335	13776	27224
336	13810	27170
337	13847	27121
338	13885	27074
339	13924	27029
340	13959	26976
341	13993	26922
342	14026	26866
343	14065	26822
344	14103	26775
345	14140	26728
346	14174	26674
347	14208	26620
348	14244	26570
349	14282	26524
350	14319	26477
351	14356	26429
352	14392	26379
353	14426	26325
354	14461	26275
355	14496	26224
356	14530	26171
357	14569	26127
358	14609	26086
359	14653	26050
360	14690	26003
361	14725	25953
362	14759	25900
363	14798	25856
364	14834	25807
365	14867	25754
366	14901	25702
367	14937	25654
368	14986	25626
369	15028	25589
370	15069	25548
371	15106	25502
372	15139	25448
373	15174	25399
374	15212	25354
375	15252	25312
376	15287	25263
377	15325	25218
378	15363	25173
379	15398	25123
380	15435	25077
381	15474	25034
382	15512	24990
383	15550	24945
384	15587	24899
385	15622	24850
386	15657	24801
387	15696	24758
388	15731	24709
389	15765	24659
390	15799	24608
391	15840	24568
392	15878	24525
393	15916	24481
394	15958	24443
395	15995	24397
396	16030	24348
397	16070	24307
398	16109	24265
399	16148	24222
400	16184	24175
401	16218	24126
402	16257	24083
403	16300	24046
404	16339	24004
405	16378	23962
406	16413	23915
407	16450	23869
408	16489	23826
409	16523	23778
410	16559	23731
411	16598	23689
412	16634	23643
413	16672	23599
414	16706	23550
415	16741	23502
416	16776	23455
417	16813	23410
418	16851	23366
419	16886	23319
420	16922	23272
421	16956	23225
422	16990	23176
423	17028	23132
424	17068	23092
425	17107	23051
426	17143	23004
427	17180	22961
428	17214	22912
429	17250	22867
430	17290	22826
431	17325	22780
432	17360	22733
433	17395	22686
434	17438	22649
435	17491	22626
436	17533	22588
437	17571	22545
438	17607	22500
439	17641	22453
440	17678	22408
441	17714	22364
442	17751	22319
443	17789	22276
444	17823	22229
445	17862	22187
446	17900	22144
447	17938	22103
448	17977	22061
449	18012	22014
450	18048	21970
451	18087	21929
452	18123	21884
453	18163	21843
454	18201	21801
455	18238	21758
456	18275	21714
457	18312	21671
458	18346	21624
459	18399	21599
460	18436	21556
461	18474	21513
462	18509	21468
463	18544	21422
464	18579	21376
465	18618	21335
466	18658	21295
467	18710	21269
468	18746	21225
469	18781	21179
470	18816	21133
471	18854	21091
472	18886	21042
473	18922	20997
474	18961	20957
475	18999	20915
476	19053	20890
477	19094	20851
478	19134	20812
479	19169	20767
480	19205	20722
481	19241	20678
482	19277	20634
483	19316	20593
484	19356	20553
485	19396	20513
486	19438	20475
487	19480	20438
488	19522	20400
489	19563	20361
490	19604	20322
491	19645	20284
492	19686	20245
493	19725	20204
494	19761	20160
495	19797	20116
496	19834	20074
497	19875	20034
498	19925	20005
499	19962	19962
500	19999	19919
501	20035	19875
502	20072	19832
503	20110	19791
504	20149	19750
505	20187	19709
506	20224	19665
507	20260	19622
508	20299	19581
509	20338	19540
510	20373	19496
511	20408	19452
512	20442	19406
513	20477	19362
514	20512	19317
515	20549	19275
516	20586	19232
517	20625	19191
518	20664	19151
519	20703	19111
520	20740	19068
521	20775	19024
522	20809	18979
523	20844	18935
524	20878	18890
525	20912	18845
526	20951	18804
527	20988	18762
528	21023	18718
529	21061	18676
530	21099	18635
531	21139	18596
532	21177	18555
533	21213	18511
534	21262	18480
535	21307	18445
536	21351	18408
537	21390	18369
538	21426	18325
539	21460	18281
540	21496	18238
541	21530	18194
542	21570	18153
543	21605	18110
544	21640	18067
545	21681	18028
546	21717	17985
547	21751	17941
548	21786	17897
549	21821	17854
550	21855	17809
551	21891	17767
552	21927	17724
553	21965	17683
554	22004	17643
555	22041	17601
556	22082	17562
557	22124	17525
558	22162	17484
559	22199	17442
560	22234	17398
561	22269	17355
562	22303	17312
563	22338	17268
564	22373	17225
565	22407	17182
566	22446	17141
567	22485	17101
568	22521	17059
569	22556	17016
570	22591	16973
571	22627	16931
572	22662	16888
573	22698	16845
574	22734	16803
575	22768	16759
576	22802	16716
577	22841	16676
578	22880	16636
579	22915	16594
580	22959	16557
581	22993	16514
582	23028	16471
583	23064	16429
584	23104	16390
585	23144	16351
586	23180	16309
587	23215	16266
588	23255	16227
589	23292	16186
590	23329	16144
591	23369	16105
592	23404	16063
593	23439	16021
594	23475	15979
595	23516	15940
596	23552	15898
597	23593	15860
598	23628	15818
599	23669	15779
600	23706	15738
601	23742	15696
602	23775	15652
603	23809	15609
604	23846	15569
605	23882	15527
606	23915	15484
607	23951	15442
608	23986	15400
609	24024	15359
610	24064	15321
611	24106	15283
612	24146	15243
613	24181	15201
614	24218	15161
615	24254	15119
616	24289	15077
617	24323	15034
618	24357	14992
619	24391	14949
620	24426	14907
621	24464	14867
622	24500	14826
623	24535	14784
624	24571	14742
625	24605	14700
626	24640	14658
627	24675	14616
628	24708	14573
629	24742	14531
630	24777	14489
631	24812	14447
632	24850	14407
633	24889	14368
634	24928	14329
635	24973	14293
636	25015	14255
637	25052	14214
638	25088	14173
639	25127	14134
640	25164	14093
641	25199	14052
642	25233	14009
643	25267	13968
644	25302	13926
645	25346	13889
646	25387	13851
647	25423	13810
648	25459	13769
649	25496	13728
650	25538	13691
651	25575	13650
652	25609	13608
653	25646	13568
654	25682	13527
655	25719	13487
656	25756	13446
657	25800	13410
658	25835	13368
659	25870	13327
660	25906	13286
661	25942	13245
662	25977	13204
663	26012	13162
664	26046	13121
665	26090	13084
666	26130	13045
667	26173	13008
668	26212	12969
669	26248	12928
670	26284	12887
671	26322	12848
672	26357	12806
673	26391	12764
674	26427	12724
675	26466	12685
676	26501	12643
677	26536	12602
678	26573	12562
679	26610	12522
680	26645	12481
681	26680	12440
682	26728	12405
683	26767	12366
684	26803	12325
685	26838	12284
686	26873	12243
687	26909	12203
688	26947	12163
689	26986	12124
690	27022	12083
691	27057	12043
692	27095	12003
693	27130	11962
694	27166	11921
695	27202	11881
696	27236	11840
697	27265	11796
698	27300	11755
699	27335	11715
700	27373	11675
701	27409	11635
702	27443	11594
703	27478	11553
704	27515	11513
705	27550	11472
706	27584	11431
707	27620	11391
708	27659	11352
709	27698	11313
710	27733	11272
711	27769	11232
712	27809	11193
713	27845	11153
714	27886	11115
715	27923	11075
716	27958	11035
717	27993	10994
718	28030	10954
719	28066	10914
720	28103	10875
721	28143	10836
722	28183	10797
723	28220	10758
724	28256	10718
725	28292	10677
726	28326	10637
727	28360	10596
728	28400	10557
729	28437	10517
730	28473	10477
731	28510	10438
732	28546	10398
733	28586	10359
734	28625	10320
735	28676	10286
736	28712	10246
737	28747	10205
738	28786	10166
739	28822	10126
740	28863	10088
741	28899	10048
742	28933	10008
743	28977	9970
744	29015	9931
745	29049	9890
746	29086	9851
747	29125	9812
748	29164	9773
749	29199	9733
750	29233	9692
751	29268	9652
752	29301	9611
753	29336	9571
754	29373	9531
755	29414	9493
756	29449	9453
757	29484	9413
758	29518	9372
759	29551	9332
760	29585	9291
761	29620	9251
762	29654	9211
763	29689	9170
764	29727	9131
765	29763	9092
766	29802	9053
767	29839	9013
768	29874	8973
769	29909	8933
770	29944	8893
771	29981	8854
772	30020	8815
773	30077	8782
774	30122	8745
775	30169	8708
776	30211	8670
777	30255	8633
778	30306	8597
779	30357	8562
780	30397	8523
781	30434	8484
782	30473	8445
783	30510	8405
784	30548	8366
785	30587	8327
786	30625	8288
787	30664	8249
788	30701	8210
789	30739	8171
790	30779	8132
791	30823	8095
792	30864	8056
793	30904	8017
794	30943	7979
795	30993	7943
796	31039	7905
797	31081	7867
798	31123	7829
799	31166	7791
800	31205	7752
801	31245	7713
802	31283	7674
803	31322	7635
804	31370	7598
805	31417	7561
806	31455	7522
807	31495	7484
808	31537	7445
809	31583	7408
810	31619	7368
811	31656	7329
812	31693	7289
813	31748	7254
814	31800	7218
815	31843	7180
816	31883	7141
817	31925	7103
818	31964	7064
819	32004	7025
820	32042	6986
821	32081	6947
822	32124	6908
823	32178	6873
824	32229	6836
825	32269	6797
826	32311	6759
827	32344	6718
828	32383	6679
829	32422	6640
830	32472	6604
831	32518	6566
832	32563	6528
833	32611	6490
834	32653	6452
835	32693	6413
836	32729	6373
837	32770	6335
838	32810	6296
839	32852	6257
840	32893	6218
841	32933	6179
842	32974	6141
843	33012	6101
844	33049	6062
845	33118	6028
846	33160	5989
847	33200	5951
848	33241	5912
849	33285	5873
850	33340	5837
851	33384	5799
852	33428	5760
853	33468	5721
854	33507	5682
855	33543	5642
856	33579	5603
857	33633	5566
858	33680	5528
859	33722	5489
860	33759	5450
861	33796	5410
862	33835	5371
863	33871	5331
864	33910	5292
865	33960	5254
866	33999	5215
867	34036	5176
868	34077	5137
869	34120	5098
870	34173	5061
871	34212	5022
872	34248	4982
873	34284	4942
874	34323	4903
875	34360	4863
876	34396	4824
877	34433	4784
878	34472	4745
879	34516	4706
880	34552	4667
881	34590	4627
882	34630	4588
883	34670	4549
884	34707	4509
885	34744	4470
886	34780	4430
887	34817	4391
888	34855	4351
889	34896	4313
890	34934	4273
891	34972	4234
892	35011	4195
893	35050	4155
894	35085	4116
895	35121	4076
896	35161	4037
897	35200	3998
898	35237	3958
899	35278	3919
900	35331	3882
901	35370	3842
902	35405	3803
903	35443	3763
904	35479	3724
905	35516	3684
906	35553	3645
907	35593	3606
908	35631	3567
909	35671	3527
910	35712	3488
911	35750	3449
912	35785	3410
913	35821	3370
914	35857	3331
915	35893	3291
916	35934	3252
917	35971	3213
918	36011	3174
919	36048	3134
920	36086	3095
921	36131	3056
922	36174	3017
923	36213	2978
924	36253	2939
925	36291	2900
926	36329	2860
927	36371	2821
928	36409	2782
929	36446	2743
930	36487	2704
931	36526	2665
932	36562	2625
933	36616	2587
934	36660	2548
935	36709	2510
936	36755	2471
937	36798	2432
938	36838	2393
939	36879	2354
940	36919	2314
941	36959	2275
942	37001	2236
943	37042	2197
944	37080	2158
945	37123	2119
946	37167	2080
947	37218	2041
948	37265	2002
949	37303	1963
950	37341	1924
951	37381	1884
952	37420	1845
953	37459	1806
954	37496	1766
955	37535	1727
956	37573	1688
957	37614	1649
958	37653	1609
959	37695	1570
960	37733	1531
961	37770	1491
962	37812	1452
963	37851	1413
964	37888	1374
965	37930	1335
966	37966	1295
967	38006	1256
968	38045	1217
969	38082	1177
970	38119	1138
971	38160	1099
972	38203	1060
973	38243	1020
974	38279	981
975	38316	942
976	38354	902
977	38404	863
978	38453	824
979	38491	785
980	38528	746
981	38565	706
982	38608	667
983	38648	628
984	38684	589
985	38721	549
986	38756	510
987	38795	471
988	38833	431
989	38870	392
990	38906	353
991	38943	314
992	38983	274
993	39024	235
994	39061	196
995	39097	157
996	39134	117
997	39175	78
998	39214	39
999	39252	0
