"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"0500000US22001","Acadia Parish, Louisiana","22599","489","37649","2481","81.0","1.0","43239","2832","17.4","1.1","20742","2013","0.1","0.1","(X)","(X)","0.3","0.4","-","**","0.0","0.1","-","**","0.5","0.4","46607","18359","0.7","0.4","(X)","(X)","1.2","0.4","30893","27354","80.1","1.0","43335","2825","3.8","0.8","31397","10842","31.8","1.3","55192","4238","42.0","1.2","38868","4814","22.4","1.0","21502","1995","15229","555","46837","3314","45.3","2.5","54528","6302","54.7","2.5","43619","2685","69.9","2.4","63385","3187","22.7","2.2","20755","2005","7.4","1.4","43986","6630","7370","473","19933","2237","51.9","3.3","15781","1524","46.5","3.4","14546","1460","5.5","1.6","47647","27612","48.1","3.3","26712","6774","39.1","3.6","24476","6972","9.0","2.2","38191","16307","32.4","(X)","(X)","(X)","34.3","(X)","(X)","(X)","27.3","(X)","(X)","(X)",
"0500000US22003","Allen Parish, Louisiana","8027","382","40948","3552","82.0","2.4","43537","2878","12.9","2.5","25798","4923","2.4","0.8","43095","23498","0.8","0.5","(X)","(X)","0.0","0.4","-","**","0.2","0.2","-","**","1.6","0.6","47321","26152","0.4","0.3","46250","18436","81.9","2.4","43548","2983","3.8","1.3","19886","9236","29.4","2.5","51393","4703","41.6","2.1","45652","4409","25.2","2.1","24715","3591","5201","367","51711","2462","44.6","3.3","53926","4852","55.4","3.3","50221","4862","69.7","3.7","62423","6650","19.7","2.9","31364","4937","10.6","3.3","41304","12971","2826","316","19641","2427","58.0","5.9","(X)","(X)","54.7","5.8","(X)","(X)","3.4","1.9","(X)","(X)","42.0","5.9","(X)","(X)","38.9","5.6","(X)","(X)","3.1","2.5","(X)","(X)","36.5","(X)","(X)","(X)","36.1","(X)","(X)","(X)","34.4","(X)","(X)","(X)",
"0500000US22005","Ascension Parish, Louisiana","40110","636","70551","1834","76.5","0.8","75232","2265","20.7","0.8","49888","5677","0.1","0.1","-","**","1.0","0.3","70755","16161","0.0","0.1","-","**","0.4","0.2","80294","55976","1.4","0.4","60337","25123","3.4","0.5","56400","22250","73.5","0.9","75783","2157","2.8","0.7","24783","10311","39.7","1.1","83974","4799","40.4","1.1","75239","5756","17.1","0.8","38835","1807","30401","772","79246","3534","50.3","1.9","82559","7998","49.7","1.9","76470","4574","74.6","2.0","95997","3369","18.6","1.9","32855","5075","6.8","1.2","60526","10748","9709","710","37242","3119","50.5","3.5","(X)","(X)","44.1","3.7","(X)","(X)","6.5","1.7","(X)","(X)","49.5","3.5","(X)","(X)","40.2","3.5","(X)","(X)","9.2","2.3","(X)","(X)","30.7","(X)","(X)","(X)","30.9","(X)","(X)","(X)","27.7","(X)","(X)","(X)",
"0500000US22007","Assumption Parish, Louisiana","8660","312","49167","2888","72.4","1.8","60572","5150","25.8","1.7","24904","5396","0.2","0.2","(X)","(X)","0.5","0.5","-","**","0.0","0.4","-","**","0.6","0.6","58068","27211","0.6","0.4","(X)","(X)","2.5","0.5","33185","8937","70.5","1.6","61601","5682","2.9","1.3","28824","23825","30.5","1.9","59508","10780","40.9","2.0","60366","4293","25.7","1.6","27753","3081","6108","330","59656","4029","36.9","3.0","67083","16399","63.1","3.0","58438","5550","69.8","3.7","72940","6269","19.3","3.2","26990","4329","10.9","2.6","47045","39311","2552","299","22284","7931","48.1","5.0","17659","2138","42.8","5.1","16310","2230","5.3","3.0","50625","22704","51.9","5.0","36938","19093","43.0","5.7","36083","13542","8.9","4.1","50893","40950","33.1","(X)","(X)","(X)","36.7","(X)","(X)","(X)","23.4","(X)","(X)","(X)",
"0500000US22009","Avoyelles Parish, Louisiana","14943","401","33739","3075","73.6","1.4","39339","3264","24.1","1.3","22760","2707","1.1","0.5","(X)","(X)","0.4","0.2","(X)","(X)","0.1","0.1","-","**","0.2","0.2","-","**","0.5","0.2","(X)","(X)","1.4","0.5","(X)","(X)","72.4","1.3","39531","3195","3.9","1.2","20572","3391","28.5","2.0","42996","5189","40.8","1.8","41259","4500","26.8","1.6","22955","2203","10029","478","42288","3927","41.2","2.5","42374","8824","58.8","2.5","42183","4594","67.9","2.8","60377","4064","25.2","2.5","22570","5635","6.9","1.8","28790","8403","4914","447","18314","1462","54.9","4.6","(X)","(X)","48.9","4.9","(X)","(X)","6.0","2.5","(X)","(X)","45.1","4.6","(X)","(X)","39.2","4.5","(X)","(X)","5.9","2.4","(X)","(X)","32.0","(X)","(X)","(X)","33.2","(X)","(X)","(X)","28.4","(X)","(X)","(X)",
"0500000US22011","Beauregard Parish, Louisiana","13152","310","45969","3637","84.0","1.1","49349","5090","11.7","0.8","26719","5006","1.0","0.4","64375","54772","0.9","0.3","80493","43913","0.0","0.2","-","**","0.5","0.3","63935","2274","1.8","0.6","27813","15539","2.5","0.4","(X)","(X)","82.4","1.0","49903","5036","2.7","0.9","17478","13564","34.8","1.3","52052","6220","38.9","1.5","60280","4909","23.6","1.4","34272","3013","9662","384","59289","5022","43.7","2.4","61081","9642","56.3","2.4","57694","5317","75.8","3.0","71079","4068","17.0","2.3","21131","5596","7.2","1.9","40800","11611","3490","364","21944","2674","46.6","5.1","16779","2101","44.0","5.0","16442","1649","2.6","1.3","39028","11311","53.4","5.1","30881","8171","43.5","5.2","25694","5460","9.9","3.6","41270","6647","37.4","(X)","(X)","(X)","35.7","(X)","(X)","(X)","40.2","(X)","(X)","(X)",
"0500000US22013","Bienville Parish, Louisiana","5814","218","32876","2567","57.6","1.7","45332","5166","41.6","1.7","21335","3402","0.2","0.2","-","**","0.0","0.6","-","**","0.0","0.6","-","**","0.3","0.4","-","**","0.3","0.3","(X)","(X)","1.9","1.6","-","**","55.7","1.8","43333","4341","2.2","1.0","20357","15827","29.0","1.8","35244","5898","40.4","2.1","41394","5698","28.3","2.1","24140","2600","3748","254","42172","2997","39.8","3.7","34081","11075","60.2","3.7","43765","3821","62.3","4.0","(X)","(X)","29.3","3.1","(X)","(X)","8.4","2.9","(X)","(X)","2066","212","19575","3317","53.0","4.9","(X)","(X)","49.3","5.0","(X)","(X)","3.8","2.0","(X)","(X)","47.0","4.9","(X)","(X)","40.8","5.0","(X)","(X)","6.1","3.2","(X)","(X)","30.4","(X)","(X)","(X)","35.5","(X)","(X)","(X)","20.9","(X)","(X)","(X)",
"0500000US22015","Bossier Parish, Louisiana","47125","762","52892","2213","76.0","0.9","59888","2870","19.4","0.8","31217","2999","0.8","0.3","70060","13074","1.3","0.3","53825","8952","0.1","0.1","56625","38072","1.2","0.4","38608","10345","1.2","0.3","42222","20747","4.6","0.6","53147","5106","72.8","0.9","60366","2947","5.2","0.7","31493","6174","37.7","1.1","61034","3753","36.3","0.9","61429","3387","20.8","0.8","34885","3449","31263","885","67021","2418","44.8","1.8","67663","5019","55.2","1.8","66550","2895","70.9","1.9","79769","3027","22.2","1.8","26520","2913","6.9","1.2","53218","18393","15862","839","30573","2014","49.2","3.1","(X)","(X)","45.3","3.2","(X)","(X)","3.9","1.0","(X)","(X)","50.8","3.1","(X)","(X)","42.6","2.9","(X)","(X)","8.2","1.8","(X)","(X)","31.0","(X)","(X)","(X)","33.1","(X)","(X)","(X)","23.6","(X)","(X)","(X)",
"0500000US22017","Caddo Parish, Louisiana","97991","958","41234","1042","51.9","0.6","57236","2165","45.1","0.6","28614","1435","0.5","0.1","26875","10962","1.0","0.1","49009","8534","0.0","0.1","92614","66033","0.7","0.2","40865","15937","0.8","0.2","37074","6545","1.8","0.2","39948","4817","51.1","0.6","57590","2255","4.5","0.5","24250","2570","32.1","0.7","42181","2339","39.5","0.7","48912","2395","23.8","0.5","34214","1498","61376","962","53284","2477","41.5","1.0","45767","3088","58.5","1.0","57836","2473","59.7","1.3","76623","2790","32.1","1.2","24384","1378","8.2","0.9","45048","4432","36615","1123","26085","907","54.3","1.6","24298","1208","49.5","1.5","23303","1168","4.8","0.7","41311","9850","45.7","1.6","29015","2520","39.1","1.7","26810","1728","6.6","1.0","45792","7486","40.2","(X)","(X)","(X)","41.8","(X)","(X)","(X)","35.9","(X)","(X)","(X)",
