parish,year,median_income,dps_score,dps_letter,crime_total,home_value_avg,mortgage_rate_avg
Acadia Parish,2015,37649,87.0,B,1590.0,155381.32159831063,3.8505769230769227
Allen Parish,2015,40948,98.5,B,134.0,126162.94932975121,3.8505769230769227
Ascension Parish,2015,70551,107.4,A,4295.0,212883.8789362193,3.8505769230769227
Assumption Parish,2015,49167,91.6,B,365.0,144558.48435593015,3.8505769230769227
Avoyelles Parish,2015,33739,61.5,D,1260.0,161127.2448824266,3.8505769230769227
Beauregard Parish,2015,45969,87.4,B,337.0,188031.07805871862,3.8505769230769227
Bienville Parish,2015,32876,87.5,B,312.0,102706.32005477336,3.8505769230769227
Bossier Parish,2015,52892,97.2,B,4088.0,175691.48882466552,3.8505769230769227
Caddo Parish,2015,41234,79.5,C,12926.0,115824.86490442668,3.8505769230769227
Caldwell Parish,2015,33294,90.8,B,263.0,123023.04891989841,3.8505769230769227
Cameron Parish,2015,64231,89.1,B,180114.0,190139.05006282055,3.8505769230769227
Claiborne Parish,2015,32072,74.3,C,206.0,253255.32499247233,3.8505769230769227
Concordia Parish,2015,29654,77.0,C,728.0,118078.39426904457,3.8505769230769227
East Feliciana Parish,2015,45520,78.4,C,189.0,163638.90523724194,3.8505769230769227
Evangeline Parish,2015,30009,76.3,C,1154.0,108023.09704001922,3.8505769230769227
Franklin Parish,2015,30275,79.5,C,151.0,89421.10718029512,3.8505769230769227
Grant Parish,2015,39914,91.1,B,146.0,138243.16990944082,3.8505769230769227
Iberia Parish,2015,45261,86.5,B,1527.0,131322.58190278616,3.8505769230769227
Iberville Parish,2015,45117,79.8,C,967.0,148090.9918356449,3.8505769230769227
Jackson Parish,2015,38029,73.4,C,87.0,110316.21790593288,3.8505769230769227
Jefferson Parish,2015,47947,87.7,B,17098.0,222566.80676653888,3.8505769230769227
Jefferson Davis Parish,2015,39063,92.9,B,376.0,139760.8600671942,3.8505769230769227
Lafayette Parish,2015,51869,89.2,B,10734.0,206846.88030660336,3.8505769230769227
Lafourche Parish,2015,51030,95.8,B,2898.0,208415.09324196298,3.8505769230769227
Lincoln Parish,2015,33467,95.5,B,1269.0,158241.18922690648,3.8505769230769227
Livingston Parish,2015,58251,102.5,A,4738.0,176938.7934879385,3.8505769230769227
Morehouse Parish,2015,28003,60.4,D,1495.0,92391.81046830602,3.8505769230769227
Natchitoches Parish,2015,31345,81.4,C,2084.0,172871.66029178185,3.8505769230769227
Ouachita Parish,2015,37754,94.9,B,9915.0,137255.39368928378,3.8505769230769227
Plaquemines Parish,2015,50314,102.3,A,179.0,248949.38902805242,3.8505769230769227
Pointe Coupee Parish,2015,43825,71.7,C,389.0,149782.0339214592,3.8505769230769227
Rapides Parish,2015,40734,86.7,B,8309.0,134422.81095861187,3.8505769230769227
Red River Parish,2015,38000,77.7,C,251.0,150563.7111637684,3.8505769230769227
Richland Parish,2015,36421,64.9,D,401.0,141418.76997423664,3.8505769230769227
Sabine Parish,2015,38828,87.2,B,451.0,160115.15965127727,3.8505769230769227
Terrebonne Parish,2015,47826,90.5,B,5312.0,182148.6908607283,3.8505769230769227
Union Parish,2015,34992,59.9,D,364.0,110475.11654597783,3.8505769230769227
Vernon Parish,2015,46312,103.3,A,1325.0,159793.56785705205,3.8505769230769227
Washington Parish,2015,30705,89.0,B,1872.0,107313.091821553,3.8505769230769227
Webster Parish,2015,33681,73.0,C,859.0,148912.47098373037,3.8505769230769227
West Baton Rouge Parish,2015,53703,86.9,B,616.0,179157.47377617864,3.8505769230769227
West Carroll Parish,2015,31926,93.4,B,378.0,110225.87281457808,3.8505769230769227
West Feliciana Parish,2015,56685,108.4,A,117.0,241791.2260044009,3.8505769230769227
Acadia Parish,2016,39837,97.3,B,1824.0,152076.41335867453,3.6540384615384616
Allen Parish,2016,41801,104.2,A,280.0,131148.88892174177,3.6540384615384616
Ascension Parish,2016,71752,109.3,A,4239.0,221220.15490025387,3.6540384615384616
Assumption Parish,2016,47822,93.3,B,326.0,147257.54052992322,3.6540384615384616
Avoyelles Parish,2016,34985,73.6,C,1191.0,162341.1935374875,3.6540384615384616
Beauregard Parish,2016,46599,89.0,B,150.0,194528.8217459904,3.6540384615384616
Bienville Parish,2016,35722,86.6,B,317.0,101397.76920095344,3.6540384615384616
Bossier Parish,2016,51894,91.7,B,4627.0,178209.74557408123,3.6540384615384616
Caddo Parish,2016,40815,74.4,C,13622.0,117282.68398490983,3.6540384615384616
Calcasieu Parish,2016,46457,86.4,B,10012.0,199094.00243833457,3.6540384615384616
Caldwell Parish,2016,29832,90.9,B,269.0,126080.32739628374,3.6540384615384616
Cameron Parish,2016,65679,100.6,A,178510.0,195676.11012888738,3.6540384615384616
Catahoula Parish,2016,34736,87.0,B,158.0,117227.62996330555,3.6540384615384616
Claiborne Parish,2016,28927,67.1,D,96.0,258515.7946744218,3.6540384615384616
Concordia Parish,2016,28405,77.9,C,620.0,117276.18127066565,3.6540384615384616
East Feliciana Parish,2016,48997,79.5,C,250.0,171014.85472552193,3.6540384615384616
Evangeline Parish,2016,30724,95.8,B,1040.0,114003.70859214274,3.6540384615384616
Franklin Parish,2016,32440,80.5,C,164.0,95761.47291792756,3.6540384615384616
Grant Parish,2016,40389,96.3,B,149.0,144404.9769169433,3.6540384615384616
Iberia Parish,2016,44573,94.1,B,1679.0,136563.33424694874,3.6540384615384616
Iberville Parish,2016,46480,82.6,C,1282.0,142871.85279247616,3.6540384615384616
Jackson Parish,2016,38310,90.4,B,60.0,118416.29123052776,3.6540384615384616
Jefferson Parish,2016,49457,79.4,C,16413.0,231417.6170557488,3.6540384615384616
Jefferson Davis Parish,2016,39202,90.6,B,520.0,149528.72064186892,3.6540384615384616
Lafayette Parish,2016,52435,96.3,B,10024.0,208644.9915167629,3.6540384615384616
Lafourche Parish,2016,52071,102.2,A,2888.0,212199.06406966667,3.6540384615384616
Lincoln Parish,2016,34527,96.0,B,1190.0,166841.14950140126,3.6540384615384616
Livingston Parish,2016,57334,109.5,A,4178.0,180553.2681302177,3.6540384615384616
Morehouse Parish,2016,30279,59.7,D,1423.0,98907.92906397463,3.6540384615384616
Natchitoches Parish,2016,30697,88.2,B,2047.0,169038.23073525354,3.6540384615384616
Ouachita Parish,2016,38974,100.2,A,10414.0,143788.76859459144,3.6540384615384616
Plaquemines Parish,2016,50251,108.6,A,268.0,250181.9818246046,3.6540384615384616
Pointe Coupee Parish,2016,44275,66.5,D,356.0,149566.7563582445,3.6540384615384616
Rapides Parish,2016,42132,92.0,B,8435.0,141608.1946655466,3.6540384615384616
Red River Parish,2016,36831,78.3,C,209.0,153611.39984685724,3.6540384615384616
Richland Parish,2016,35684,70.9,C,353.0,143228.02261903227,3.6540384615384616
Sabine Parish,2016,39372,82.7,C,334.0,160882.7611986236,3.6540384615384616
Terrebonne Parish,2016,48166,95.1,B,4783.0,184553.9753164459,3.6540384615384616
Union Parish,2016,37049,82.9,C,306.0,112592.63052755408,3.6540384615384616
Vermilion Parish,2016,47083,106.8,A,1491.0,157226.8809726215,3.6540384615384616
Vernon Parish,2016,46561,109.0,A,1137.0,154330.96435823294,3.6540384615384616
Washington Parish,2016,31013,80.2,C,1949.0,112288.2889468869,3.6540384615384616
Webster Parish,2016,31920,79.9,C,761.0,161825.451823539,3.6540384615384616
West Baton Rouge Parish,2016,53882,95.9,B,625.0,183842.24462446605,3.6540384615384616
West Carroll Parish,2016,36670,95.5,B,357.0,117386.24051919863,3.6540384615384616
West Feliciana Parish,2016,53364,108.8,A,118.0,249151.65940594432,3.6540384615384616
Acadia Parish,2017,22675,90.0,B,2377.0,145933.46415722385,3.9898076923076924
Allen Parish,2017,7834,103.4,A,185.0,126851.29570451101,3.9898076923076924
Ascension Parish,2017,41884,110.4,A,4222.0,221210.594598777,3.9898076923076924
Assumption Parish,2017,8710,95.0,B,306.0,139146.59774248864,3.9898076923076924
Avoyelles Parish,2017,14961,71.5,C,1118.0,166679.2077425387,3.9898076923076924
Beauregard Parish,2017,13327,89.3,B,121.0,191272.23105048508,3.9898076923076924
