Parish,Year,HomeValue,Bedrooms,CrimeRate,School,Income,MortgageRate
Acadia,2014,125315.75364373138,3.0,132.5,89.7,22788.0,4.168867924528302
Acadia,2015,129868.98855666806,3.0,132.5,87.0,22599.0,3.8505769230769227
Acadia,2016,133512.40653971472,3.0,152.0,97.3,22655.0,3.6540384615384616
Acadia,2017,138743.63045161965,3.0,198.08333333333334,90.0,22675.0,3.9898076923076924
Acadia,2018,140870.8429828861,3.0,196.25,79.5,22564.0,4.544615384615384
Acadia,2019,141765.26702244798,3.0,136.25,81.0,22236.0,3.935769230769231
Acadia,2020,148598.2644857939,3.0,88.0,81.0,22598.0,3.111698113207547
Acadia,2021,155562.48723072503,3.0,68.0,81.0,21555.0,2.957692307692308
Acadia,2022,172132.34939156543,3.0,57.0,77.1,21388.0,5.344038461538461
Acadia,2023,177045.94191322566,3.0,54.833333333333336,81.2,21529.0,6.806730769230769
Acadia,2024,181283.98041444446,3.0,61.0,80.0,21529.0,6.721153846153846
Ascension,2014,120833.79151039186,2.0,357.9166666666667,106.9,39447.0,4.168867924528302
Ascension,2015,125581.03373962581,2.0,357.9166666666667,107.4,40110.0,3.8505769230769227
Ascension,2016,130692.31375669422,2.0,353.25,109.3,40663.0,3.6540384615384616
Ascension,2017,133548.41460458207,2.0,351.8333333333333,110.4,41884.0,3.9898076923076924
Ascension,2018,137908.08176443298,2.0,338.4166666666667,91.2,42649.0,4.544615384615384
Ascension,2019,140849.39653231957,2.0,305.6666666666667,92.3,43032.0,3.935769230769231
Ascension,2020,144851.27510044462,2.0,311.0,92.3,44029.0,3.111698113207547
Ascension,2021,157015.6309453386,2.0,275.25,92.3,45195.0,2.957692307692308
Ascension,2022,170868.00741458754,2.0,271.3333333333333,92.0,46040.0,5.344038461538461
Ascension,2023,176589.87607275366,2.0,255.58333333333334,93.7,46773.0,6.806730769230769
Ascension,2024,178701.65440017136,2.0,211.75,95.8,43110.0,6.721153846153846
Ascension,2014,177579.62779278867,3.0,284.83333333333337,106.9,39447.0,4.168867924528302
Ascension,2015,184817.17670500404,3.0,357.9166666666667,107.4,40110.0,3.8505769230769227
Ascension,2016,191618.11909919497,3.0,353.25,109.3,40663.0,3.6540384615384616
Ascension,2017,197847.53752091972,3.0,351.8333333333333,110.4,41884.0,3.9898076923076924
Ascension,2018,203216.61778357523,3.0,338.4166666666667,91.2,42649.0,4.544615384615384
Ascension,2019,204644.27534713468,3.0,305.6666666666667,92.3,43032.0,3.935769230769231
Ascension,2020,209444.89728462152,3.0,311.0,92.3,44029.0,3.111698113207547
Ascension,2021,226075.37606661415,3.0,275.25,92.3,45195.0,2.957692307692308
Ascension,2022,250662.8190523621,3.0,271.3333333333333,92.0,46040.0,5.344038461538461
Ascension,2023,262560.41294031317,3.0,255.58333333333334,93.7,46773.0,6.806730769230769
Ascension,2024,271110.5805960274,3.0,211.75,95.8,43110.0,6.721153846153846
Ascension,2014,268494.8844714729,4.0,284.83333333333337,106.9,39447.0,4.168867924528302
Ascension,2015,277016.96308427316,4.0,357.9166666666667,107.4,40110.0,3.8505769230769227
Ascension,2016,285185.75249427994,4.0,353.25,109.3,40663.0,3.6540384615384616
Ascension,2017,293143.9476464399,4.0,351.8333333333333,110.4,41884.0,3.9898076923076924
Ascension,2018,300809.37635847554,4.0,338.4166666666667,91.2,42649.0,4.544615384615384
Ascension,2019,304185.13975030923,4.0,305.6666666666667,92.3,43032.0,3.935769230769231
Ascension,2020,311147.5542952273,4.0,311.0,92.3,44029.0,3.111698113207547
Ascension,2021,337634.32853525033,4.0,275.25,92.3,45195.0,2.957692307692308
Ascension,2022,374818.37234596396,4.0,271.3333333333333,92.0,46040.0,5.344038461538461
Ascension,2023,382526.78714240744,4.0,255.58333333333334,93.7,46773.0,6.806730769230769
Ascension,2024,385906.45642986713,4.0,211.75,95.8,43110.0,6.721153846153846
Ascension,2014,334176.34045877616,5.0,284.83333333333337,106.9,39447.0,4.168867924528302
Ascension,2015,347050.06645617785,5.0,357.9166666666667,107.4,40110.0,3.8505769230769227
Ascension,2016,356227.6392932553,5.0,353.25,109.3,40663.0,3.6540384615384616
Ascension,2017,363979.56772459386,5.0,351.8333333333333,110.4,41884.0,3.9898076923076924
Ascension,2018,373812.89146646974,5.0,338.4166666666667,91.2,42649.0,4.544615384615384
Ascension,2019,378708.5218786598,5.0,305.6666666666667,92.3,43032.0,3.935769230769231
Ascension,2020,388631.0064285486,5.0,311.0,92.3,44029.0,3.111698113207547
Ascension,2021,428208.13608584163,5.0,275.25,92.3,45195.0,2.957692307692308
Ascension,2022,477604.1601745097,5.0,271.3333333333333,92.0,46040.0,5.344038461538461
Ascension,2023,492064.47731805284,5.0,255.58333333333334,93.7,46773.0,6.806730769230769
Ascension,2024,499560.47211894585,5.0,211.75,95.8,46773.0,6.721153846153846
Assumption,2014,149088.58184299644,3.0,30.416666666666668,89.4,8726.0,4.168867924528302
Assumption,2015,155698.50113663942,3.0,30.416666666666668,91.6,8660.0,3.8505769230769227
Assumption,2016,158644.39566939222,3.0,27.166666666666668,93.3,8676.0,3.6540384615384616
Assumption,2017,156452.8200148447,3.0,25.5,95.0,8710.0,3.9898076923076924
Assumption,2018,161344.52037191324,3.0,28.25,78.9,8802.0,4.544615384615384
Assumption,2019,165674.2560105428,3.0,23.75,80.5,8552.0,3.935769230769231
Assumption,2020,172681.3978771919,3.0,22.416666666666668,80.5,8941.0,3.111698113207547
Assumption,2021,183736.47766583695,3.0,760.148347885636,80.5,8289.0,2.957692307692308
Assumption,2022,198806.29767182432,3.0,804.7464475261086,78.7,8368.0,5.344038461538461
Assumption,2023,202904.71470521158,3.0,745.2960382513661,80.6,8420.0,6.806730769230769
Assumption,2024,200913.23611381438,3.0,544.5581455581456,81.8,8420.0,6.721153846153846
Avoyelles,2014,108691.75306177448,3.0,105.0,72.9,15107.0,4.168867924528302
Avoyelles,2015,112621.6367164799,3.0,105.0,61.5,14943.0,3.8505769230769227
Avoyelles,2016,115529.0651390943,3.0,99.25,73.6,15016.0,3.6540384615384616
Avoyelles,2017,121367.52881092149,3.0,93.16666666666667,71.5,14961.0,3.9898076923076924
Avoyelles,2018,122916.26309385535,3.0,93.5,66.6,15085.0,4.544615384615384
